RequestID,Boro,Yr,M,D,HH,MM,Vol,SegmentID,WktGeom,Street,fromSt,toSt,Direction
,Queens,2016,6,9,19,45,61,181196,POINT (1040970.0754719187 221006.77703803292),26 AVENUE,Francis Lewis Boulevard,Francis Lewis Boulevard,WB\
10420,Staten Island,2012,12,4,12,30,58,160545,POINT (960547.4 156351.9),QUINTARD ST,JEROME RD,HYLAN BLVD,WB\
18613,Queens,2014,11,19,21,30,50,64588,POINT (1052394.4 194445.3),MURDOCK AV,200 ST,201 ST,EB\
23298,Brooklyn,2016,4,20,8,30,162,28258,POINT (994843.926559646 177718.67047158963),OCEAN AVENUE,Brighton Line,East Drive,NB\
11693,Queens,2013,5,12,19,45,84,102994,POINT (1067166.4 208640.8),HILLSIDE AV,268 ST,LANGDALE ST,WB\
3117,Bronx,2009,1,21,9,15,0,86868,POINT (1026186.7 249387.1),W/B MORRIS PARK AVE @ TENBROECK AVE,TENBROECK AV,SEMINOLE AV,WB\
10267,Manhattan,2012,9,11,9,0,173,71360,POINT (1003632.1 248057.9),TRANS MANHATTAN EP NB ET 1 B,TRANS MANHATTAN EP SB EN WASH BR,BEND,NB\
8690,Queens,2012,5,31,11,0,10,92980,POINT (1037212.7 228033.3),11 AV,152 ST,154 ST,EB\
21131,Bronx,2015,11,2,1,0,18,80377,POINT (1016601.4192744886 250816.52877449128),CROTONA AVENUE,East 187 Street,East 189 Street,NB\
31054,Queens,2019,10,13,15,30,88,75343,POINT (1010009.6921964827 210245.02997862257),58 STREET,41 Drive,43 Avenue,SB\
27304,Manhattan,2017,12,6,14,15,108,36024,POINT (992064.0971057177 217533.27224219308),EAST 59 STREET,5 Avenue,Madison Avenue,EB\
7853,Queens,2011,5,29,22,15,20,184077,POINT (1063138.5 216034.4),GRAND CENTRAL PKWY S SER. RD,ENT RMP TO EB GCP,LAKEVILLE RD,EB\
17993,Manhattan,2014,9,25,1,30,13,38915,POINT (999727.4358672391 239840.66657786912),ST NICHOLAS AVENUE,8 Avenue Line,8 Avenue Line,SB\
32318,Manhattan,2019,10,21,8,15,39,32792,POINT (985502.9661231559 207708.38722079736),WEST 14 STREET,14 Street/canarsie Line,14 Street/canarsie Line,EB\
8571,Manhattan,2012,6,17,6,0,19,36118,POINT (992408.2 214015.8),E 48 ST,2 AV,3 AV,EB\
25457,Brooklyn,2017,5,14,13,30,62,24223,POINT (987843.585320592 193314.630480915),JAY STREET,8 Avenue Line,8 Avenue Line,NB\
32318,Manhattan,2019,10,25,17,45,181,32631,POINT (985938.8270543092 207277.6391383339),5 AVENUE,East 13 Street,14 Street/canarsie Line,SB\
12555,Manhattan,2011,9,22,4,15,14,70937,POINT (1001266.7 247128.1),WADSWORTH AVE N/O W 173rd ST,W 173 ST,W 174 ST,NB\
18393,Queens,2014,10,4,21,30,10,151110,POINT (1024557.1496465012 204329.40336871982),CONNECTOR,Queens Boulevard,66 Road,WB\
31372,Manhattan,2019,11,3,5,15,90,36026,POINT (991892.3728928729 218021.41662525665),5 AVENUE,East 61 Street,Astoria Line,SB\
27051,Brooklyn,2017,10,31,7,0,11,25019,POINT (990120.8815579988 155439.38147645784),WEST 8 STREET,Avenue V,86 Street,SB\
26169,Brooklyn,2017,6,16,19,0,155,43586,POINT (1006536.6997483796 181147.70104279544),TAPSCOTT STREET,Blake Avenue,Dead end,SB\
11617,Brooklyn,2013,1,30,23,0,5,50862,POINT (1021843.2 187042.9),FORBELL ST,101 AV,MC KINLEY AV,NB\
7669,Manhattan,2012,3,26,3,0,28,106945,POINT (1001044.9 241682.6),W 155 ST,EDGECOMBE AV,BRADHURST AV,WB\
2994,Queens,2010,3,12,17,0,930,132507,POINT (1059756.6 191088.5),E/B LINDEN BLVD @ 237 ST (CITY LINE),234 ST,CIP SB EN LINDEN BLVD/CROSS ISLE PKWY SR S,EB\
24634,Brooklyn,2016,10,21,23,45,83,157916,POINT (1001371.3229516661 152043.7701045288),EMMONS AVENUE,Lincoln Terrace,Nostrand Avenue,WB\
9243,Bronx,2012,2,13,17,45,168,88431,POINT (1027430.1 251104.6),EASTCHESTER ROAD,MC DONALD STREET,RHINELANDER AVENUE,SB\
9638,Queens,2011,2,8,18,30,131,55018,POINT (1034548.8 185628.6),ROCKAWAY BLVD WB APPROACH TO LEFFERTS BLVD,LEFFERTS BLVD,120 ST,WB\
21109,Queens,2015,10,1,16,0,138,48672,POINT (1011920.8879525323 191914.78970342074),COOPER AVENUE,Cemetery Of Evergrns Boundary,Lirr Connecting Rail Line,WB\
23887,Queens,2016,10,8,4,0,469,193991,POINT (1015234.3059075088 204296.9724935151),LONG ISLAND EXPRESSWAY,Dead End,Dead end,WB\
23607,Bronx,2016,6,19,5,30,57,86102,POINT (1023088.7341848494 240092.86905119612),BRUCKNER BOULEVARD,Bolton Avenue,White Plains Road,EB\
15887,Staten Island,2013,10,5,6,0,40,12986,POINT (955363.8 164088.2),CLOVE RD,VICTORY BLVD,BEVERLY AV,SB\
1730,Brooklyn,2010,8,15,7,30,5,41235,POINT (1005754.2 164884.8),S/B AVE N @ E 54 ST,E 54 ST,E 55 ST,SB\
15799,Manhattan,2013,11,24,20,30,25,32692,POINT (986929.1 202081.5),ELDRIDGE STREET,RIVINGTON STREET,STANTON STREET,NB\
12008,Bronx,2010,9,11,15,45,277,176798,POINT (1017883.4 265508.9),E 233RD ST BET JEROME AVE & VAN CORTLANDT PARK EAST,VAN CORTLANDT PARK E,VAN CORTLANDT PARK EAST,WB\
14743,Brooklyn,2013,6,27,16,0,139,110454,POINT (1000722.4 198596.3),BUSHWICK AV,GRAND ST,MAUJER ST,NB\
26516,Brooklyn,2017,11,5,3,30,5,26809,POINT (992007.6404692169 169182.63216924336),OCEAN PARKWAY,Lawrence Avenue,Parkville Avenue,SB\
26515,Brooklyn,2017,11,17,6,30,7,22221,POINT (984124.8513286278 189384.6689604862),HICKS STREET,Kane Street,De Graw Street,SB\
2328,Bronx,2009,10,25,19,0,99,81295,POINT (1017197.4 260806),E/B E GUN HILL RD @ DEKALB AVE,JEROME AV/W GUN HILL RD,DEKALB AV,EB\
1604,Queens,2010,6,2,2,15,2,51211,POINT (1023545.1 188560.6),W/B ROCKAWAY BLVD @ 82 ST,82 ST,95 AV,WB\
26862,Brooklyn,2017,10,8,16,0,45,66013,POINT (1001578.4595454024 202874.4872909963),VANDERVOORT AVENUE,Anthony Street,Cherry Street,SB\
20328,Manhattan,2015,5,9,11,0,153,158638,POINT (992026.3130209173 228660.28922154652),BROADWAY,West 95 Street,West 96 Street,NB\
18043,Brooklyn,2014,10,22,2,15,10,26054,POINT (997720.1036061131 151808.8924582082),EMMONS AVENUE,East 16 Street,Sheepshead Bay Road,WB\
25356,Brooklyn,2017,3,5,7,0,15,126789,POINT (975730.0272785162 166389.3219891896),86 STREET,Alley,3 Avenue,WB\
16721,Queens,2014,2,12,15,15,42,76505,POINT (1018015.1 215241.9),90 ST,32 AV,NORTHERN BLVD,SB\
24893,Manhattan,2016,10,23,7,15,267,36374,POINT (994288.1339983353 216162.2014477388),ED KOCH QUEENSBORO BRIDGE APPR,East 58 Street,East 59 Street,EB\
